Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,16.7%,,366.7%,-23.1%,-21.4%,171.3%,3.4%,,88.4%,53.2%,-57.3%,3.0%,26.9%,,-4.1%,12.6%,55.5%,19.0%,-7.8%,123.3%,-12.7%
,Panel 5,,11.1%,-48.7%,-13.3%,-21.7%,-13.4%,8.5%,22.2%,,-10.6%,-4.1%,-21.6%,-19.9%,-28.4%,,-12.3%,-23.5%,-28.1%,-21.4%,-28.8%,-27.7%,-22.4%
,Panel 5,,132.0%,51.2%,62.0%,16.7%,-87.0%,804.1%,-13.2%,,-28.3%,638.7%,76.9%,290.3%,389.0%,,206.3%,338.4%,0.4%,15.0%,171.8%,840.1%,6931.7%
,Panel 5,,30.6%,84.9%,74.4%,128.5%,77.4%,113.1%,190.4%,,101.4%,109.0%,104.3%,79.6%,68.3%,,105.0%,74.4%,47.6%,25.4%,19.0%,6.9%,-4.8%
,Panel 5,,6.6%,222.0%,86.0%,288.9%,185.8%,126.7%,248.4%,,172.7%,343.7%,208.4%,214.5%,318.3%,,226.8%,233.4%,367.7%,658.4%,910.7%,754.9%,
,Panel 5,,7.3%,-31.7%,33.1%,-3.8%,30.1%,0.7%,29.3%,,11.9%,2.8%,6.8%,1.3%,17.2%,,6.5%,13.8%,18.9%,9.8%,19.1%,20.0%,20.9%
,Panel 5,,7.8%,,29.6%,-100.0%,,,-27.6%,,8.9%,-65.3%,-73.9%,-67.1%,-61.6%,,-54.7%,-62.5%,-77.4%,-16.1%,-20.3%,57.9%,
,Panel 5,,1.0%,-33.8%,-25.6%,-24.1%,-28.9%,-18.6%,-15.6%,,-24.2%,-19.7%,-24.6%,-23.6%,-22.5%,,-22.9%,-23.9%,-22.1%,-18.8%,-17.4%,-13.2%,-17.4%
,Panel 5,,18.0%,,132.3%,,,17.2%,-100.0%,,352.7%,49.0%,-18.8%,100.8%,-36.6%,,35.3%,17.3%,-50.0%,-50.3%,-57.4%,12.5%,218.2%
,Panel 5,,2.3%,-56.4%,178.2%,2.6%,15.8%,22.1%,15.0%,,12.7%,-7.2%,-5.2%,1.8%,5.8%,,-0.1%,2.1%,0.3%,-1.0%,9.1%,-2.3%,-4.7%
,Panel 5,,5.9%,-34.4%,-7.1%,-35.9%,-23.1%,-11.4%,-4.6%,,-17.7%,-21.9%,-26.6%,-16.3%,-13.9%,,-22.2%,-16.4%,-6.2%,-1.9%,4.5%,-1.9%,-17.5%
,Panel 5,,176.9%,,,,,,,,,-100.0%,,-100.0%,,,76.9%,-100.0%,-9.7%,31.4%,-80.7%,-81.4%,-90.0%
,Panel 5,,45.6%,-3.6%,-76.6%,-100.0%,-100.0%,-100.0%,-100.0%,,-89.1%,-89.0%,-50.1%,-33.3%,-44.6%,,-76.5%,-30.9%,-12.0%,8.4%,13.5%,59.0%,-93.4%
,Panel 5,,0.2%,-50.8%,-31.8%,-25.3%,-61.6%,-41.8%,-60.3%,,-41.9%,-40.5%,-1.2%,-53.4%,-31.5%,,-30.2%,-30.4%,-25.4%,-53.4%,-61.7%,-65.5%,-60.1%
,Panel 5,,17.3%,-17.9%,16.7%,132.1%,61.3%,22.2%,-45.2%,,41.5%,11.3%,25.2%,19.3%,59.1%,,26.1%,43.4%,0.0%,-17.8%,-13.5%,-46.4%,-19.0%
,Panel 5,,13.5%,-41.3%,-30.6%,-27.2%,-23.9%,-31.5%,-35.6%,,-29.4%,-26.8%,-13.8%,-10.6%,-10.8%,,-23.6%,-10.2%,-22.0%,-0.9%,7.3%,41.1%,104.7%
,Panel 5,,33.3%,,,-76.1%,-30.8%,-100.0%,-100.0%,,-64.9%,67.2%,-62.6%,-82.4%,-54.7%,,-39.9%,-73.2%,-92.3%,-82.4%,-50.5%,-45.2%,-48.3%
,Panel 5,,0.2%,16.5%,-29.0%,13.7%,5.2%,11.7%,4.0%,,1.9%,-0.6%,7.7%,-4.6%,2.4%,,3.2%,3.0%,2.9%,7.1%,4.4%,4.0%,11.8%
,Panel 1,,32.1%,8.9%,34.9%,14.1%,18.5%,-3.8%,45.0%,3.9%,16.8%,35.8%,72.9%,87.7%,57.1%,3.9%,40.1%,72.2%,57.2%,49.2%,8.9%,111.1%,98.6%
,Panel 5,,0.0%,-2.7%,-10.1%,-5.2%,2.2%,-10.7%,8.5%,-11.8%,-4.6%,-4.4%,-6.7%,-4.1%,-5.4%,-11.8%,-5.4%,-5.6%,-3.1%,-0.3%,3.0%,0.7%,0.6%
,Panel 5,,0.0%,,,,,-13.4%,,,634.7%,168.4%,7.0%,17.3%,881.8%,,147.7%,389.5%,,,,10835.0%,
,Panel 5,,0.0%,-23.0%,-29.1%,-2.1%,-29.2%,-12.5%,-30.3%,-1.8%,-19.0%,-19.4%,-11.6%,-3.1%,6.6%,-1.8%,-16.2%,-2.3%,2.8%,2.5%,8.5%,-12.7%,-7.2%
,Panel 5,,0.0%,7.6%,-12.5%,-7.8%,-12.2%,-22.2%,-11.4%,-19.3%,-9.8%,-2.7%,-9.5%,-6.8%,-8.7%,-19.3%,-7.4%,-8.0%,-7.2%,-9.5%,-8.8%,-7.8%,-10.7%
,Panel 5,,0.0%,46.7%,-68.9%,-29.2%,-35.2%,137.8%,64.1%,4.9%,-14.3%,37.3%,-15.1%,15.9%,15.3%,4.9%,-3.3%,-5.9%,49.3%,-1.0%,24.8%,32.4%,-25.0%
,Panel 5,,0.0%,-1.9%,-8.8%,-2.7%,12.6%,-15.0%,-0.1%,-9.5%,-3.5%,-10.2%,-11.3%,-8.7%,-10.4%,-9.5%,-8.9%,-9.4%,-5.5%,-7.2%,-5.5%,-6.0%,-9.4%
,Panel 5,,0.0%,-2.0%,-9.2%,-6.1%,3.9%,-5.2%,22.5%,-13.4%,-2.9%,-0.9%,-2.5%,-2.8%,-5.0%,-13.4%,-2.1%,-4.9%,-3.5%,-1.6%,0.6%,-1.4%,-0.3%
,Panel 5,,0.0%,-23.5%,-21.8%,-12.8%,-15.2%,-14.0%,23.3%,3.5%,-18.5%,6.8%,8.2%,15.9%,4.2%,3.5%,-0.4%,4.4%,-2.5%,-5.6%,-0.2%,1.4%,13.3%
,Panel 5,,0.0%,40.0%,-6.9%,22.6%,27.8%,-9.1%,10.9%,20.2%,13.6%,11.2%,2.7%,25.8%,8.7%,20.2%,8.7%,15.8%,4.9%,4.4%,3.7%,-4.2%,-1.0%
,Panel 5,,0.0%,-21.5%,-15.5%,-9.7%,-5.3%,-26.5%,-10.0%,-31.3%,-13.8%,-9.1%,-17.5%,-15.7%,-16.3%,-31.3%,-13.8%,-15.9%,-6.5%,131.6%,274.3%,469.8%,546.3%
,Panel 5,,0.0%,-12.5%,10.6%,-22.3%,-7.5%,0.4%,12.9%,-15.5%,-4.1%,-10.5%,-13.7%,-12.3%,7.2%,-15.5%,-9.9%,-4.1%,6.5%,-1.3%,-0.4%,2.6%,4.4%
,Panel 3,,2.2%,7.1%,5.7%,-1.0%,13.4%,-12.6%,42.0%,14.0%,3.0%,-0.7%,-5.5%,9.4%,0.1%,7.1%,0.8%,3.0%,2.3%,3.7%,7.7%,-2.5%,8.8%
,Panel 5,,1.2%,5.6%,8.1%,-1.9%,20.5%,-22.7%,28.4%,-1.7%,0.1%,2.5%,-1.2%,-4.1%,0.2%,5.6%,0.3%,-1.0%,0.5%,-3.0%,2.1%,-4.5%,5.0%
,Panel 5,0.46,10.3%,-17.4%,-5.1%,-54.6%,-38.7%,-7.1%,-15.6%,555.6%,-28.6%,-4.1%,24.7%,-15.1%,-27.2%,555.6%,-3.6%,-13.9%,8.3%,1.2%,27.8%,44.5%,46.1%
,Panel 1,,0.0%,-5.1%,-15.6%,-7.9%,-5.8%,-23.1%,3.5%,17.9%,-14.1%,0.7%,-6.6%,-8.8%,-4.5%,17.9%,-7.0%,-7.6%,-8.3%,-8.0%,-9.0%,-9.8%,-10.4%
,Panel 1,,0.0%,7.7%,1.2%,-4.6%,2.5%,-9.6%,7.1%,11.7%,-2.0%,6.7%,2.6%,4.7%,6.4%,11.7%,2.2%,5.0%,3.9%,4.7%,0.5%,-4.2%,-4.6%
,Panel 5,0.57,5.5%,5.2%,4.3%,18.5%,16.0%,14.6%,-17.6%,,12.9%,0.4%,7.4%,13.7%,9.8%,4.2%,9.6%,2.9%,6.6%,5.3%,9.7%,11.8%,6.2%
,Panel 1,,2.8%,2.3%,2.5%,9.9%,16.0%,-9.1%,-6.4%,11.2%,5.5%,4.8%,1.5%,10.4%,12.8%,3.8%,6.6%,5.1%,6.1%,5.0%,14.9%,12.5%,5.7%
,Panel 5,,5.9%,29.0%,14.7%,-3.5%,13.1%,-12.1%,-40.5%,,4.2%,-4.4%,-1.7%,-7.5%,-10.8%,-0.3%,-6.1%,1.7%,0.6%,0.5%,-4.8%,-8.5%,2.2%
,Panel 5,,12.6%,-77.3%,-85.2%,45.2%,-25.9%,-24.9%,-36.9%,,-21.7%,48.7%,-8.3%,92.5%,-13.1%,9.7%,-2.9%,-35.6%,14.4%,-28.5%,-7.9%,10.8%,66.1%
,Panel 5,,12.1%,36.6%,16.8%,54.4%,22.7%,81.9%,-82.0%,,32.9%,6.7%,-0.6%,-5.5%,11.4%,11.1%,-1.0%,-23.9%,13.8%,-5.6%,1.7%,-15.4%,-6.2%
,Panel 5,,8.6%,17.0%,-0.7%,18.6%,22.5%,4.7%,-6.0%,,9.6%,11.9%,26.3%,16.3%,14.5%,10.7%,19.3%,11.0%,17.3%,20.2%,15.8%,20.5%,16.2%
,Panel 5,,11.0%,6.7%,19.5%,61.0%,3.8%,24.0%,16.2%,,25.2%,8.9%,-7.0%,25.2%,13.9%,15.3%,4.3%,13.1%,35.0%,14.3%,-7.4%,-18.8%,-8.7%
,Panel 5,,54.8%,,77.4%,43.7%,-43.2%,13.3%,-10.2%,,-2.0%,-17.3%,49.6%,11.9%,89.3%,-11.6%,43.2%,23.8%,98.2%,109.7%,57.3%,59.7%,43.0%
,Panel 5,,10.9%,-10.4%,-14.2%,0.4%,34.6%,105.8%,-35.4%,,31.2%,-12.1%,-1.2%,13.1%,6.9%,-9.1%,1.8%,-0.5%,5.3%,0.6%,13.3%,5.0%,5.4%
,Panel 1,,3.4%,12.8%,25.6%,-1.1%,33.7%,-7.3%,-9.5%,31.2%,11.9%,17.1%,11.6%,9.9%,14.1%,15.2%,11.8%,18.2%,19.4%,18.3%,16.5%,20.8%,19.8%
,Panel 1,,5.1%,23.5%,8.4%,41.9%,25.5%,19.8%,16.6%,26.9%,22.9%,10.9%,-4.2%,42.1%,26.5%,14.8%,9.7%,25.6%,33.8%,17.0%,2.0%,-12.3%,8.8%
,Panel 1,,11.5%,-7.2%,-6.7%,9.7%,16.9%,49.3%,-22.5%,-9.9%,21.0%,-5.8%,3.1%,12.2%,5.3%,-6.4%,5.0%,9.6%,4.7%,-3.6%,11.6%,-5.4%,4.1%
,Panel 3,0.36,11.5%,8.9%,18.7%,36.5%,37.8%,87.9%,-1.2%,-12.2%,50.3%,-8.6%,5.0%,26.2%,14.2%,-2.1%,9.4%,20.7%,7.2%,-0.9%,20.5%,13.2%,9.9%
,Panel 5,0.61,27.4%,-39.6%,-21.6%,38.2%,106.2%,102.1%,-14.9%,42.0%,39.5%,-3.7%,-10.7%,-31.9%,-1.4%,-39.6%,19.6%,-7.9%,-7.4%,44.7%,50.0%,15.8%,17.3%
,Panel 5,,2.1%,-17.2%,-17.2%,-20.6%,-22.6%,-31.7%,4.7%,-44.1%,-24.1%,-12.9%,-17.8%,-25.1%,-15.9%,-10.9%,-19.1%,-23.7%,-25.6%,-11.2%,-8.4%,-59.7%,-68.3%
,Panel 1,,0.6%,-27.4%,8.2%,12.1%,9.6%,-36.3%,26.0%,3.1%,-5.6%,-11.1%,-12.5%,-17.4%,-15.2%,-25.6%,-9.5%,-15.5%,-10.4%,-16.9%,-9.0%,-70.0%,-78.1%
,Panel 5,,0.9%,-0.8%,-16.6%,-26.2%,-18.7%,-31.2%,7.6%,-21.2%,-23.9%,-13.1%,-15.7%,-24.7%,-20.1%,10.6%,-18.2%,-23.0%,-21.0%,-6.6%,-6.7%,61.0%,144.1%
,Panel 5,,0.9%,-0.8%,-16.6%,-26.2%,-18.7%,-31.2%,7.6%,-21.2%,-23.9%,-13.1%,-15.7%,-24.7%,-20.1%,10.6%,-18.2%,-23.0%,-21.0%,-6.6%,-6.7%,61.0%,144.1%
,Panel 5,,2.3%,-36.1%,-18.3%,-8.2%,-30.4%,-32.8%,-2.1%,-68.1%,-24.5%,-12.5%,-21.5%,-25.7%,-9.8%,-34.0%,-20.8%,-24.8%,-31.6%,-17.4%,-11.4%,-80.4%,-85.1%
,Panel 5,,2.3%,-30.3%,-16.0%,-8.1%,-28.9%,-30.7%,3.3%,-59.4%,-22.5%,-9.4%,-17.3%,-22.5%,-7.0%,-19.8%,-17.9%,-22.4%,-30.6%,-17.0%,-10.5%,-80.2%,-85.1%
,Panel 1,,5.5%,-43.2%,12.5%,19.4%,11.1%,-43.4%,21.0%,-25.2%,-7.1%,-21.1%,-21.5%,-19.4%,-6.7%,-42.4%,-16.5%,-12.9%,0.2%,2.5%,2.6%,-32.0%,-46.6%
,Panel 1,,1.5%,13.7%,-0.2%,-14.2%,5.7%,20.1%,49.2%,81.9%,-1.1%,26.7%,24.1%,-12.9%,-30.8%,19.1%,15.7%,-20.5%,-27.5%,-46.8%,-35.2%,-85.4%,-88.7%
,Panel 5,,10.6%,24.6%,1.8%,14.8%,12.4%,34.3%,-0.7%,-22.5%,14.9%,1.7%,22.0%,16.9%,16.2%,8.0%,18.6%,13.0%,16.1%,11.4%,6.6%,11.3%,5.5%
,Panel 5,,33.4%,-29.3%,25.3%,-22.7%,-50.4%,-31.9%,-33.9%,-90.7%,-19.5%,-42.6%,49.0%,-35.4%,-28.2%,-34.3%,-0.9%,-24.4%,6.7%,33.8%,77.1%,134.6%,195.6%
,Panel 5,,20.4%,36.8%,-28.6%,-65.3%,-55.5%,-13.3%,-57.6%,183.7%,-39.4%,-47.1%,-25.3%,-9.8%,-29.0%,-42.4%,-21.9%,-19.9%,1.5%,-10.8%,-0.2%,-4.2%,3.0%
,Panel 5,,10.4%,25.1%,2.4%,17.5%,14.9%,35.9%,1.0%,-21.8%,16.6%,3.0%,22.9%,18.0%,18.2%,9.5%,19.9%,14.2%,16.5%,11.9%,6.3%,11.2%,5.1%
,Panel 5,,11.4%,10.4%,9.3%,-71.0%,-74.0%,-44.8%,-64.5%,,-52.9%,-21.9%,-23.0%,-5.4%,-45.1%,-37.4%,-26.1%,11.2%,29.3%,14.7%,40.6%,-15.6%,-38.1%
,Panel 1,0.95,3.6%,-3.1%,-9.9%,-3.4%,-2.9%,-15.1%,2.8%,-0.5%,-7.7%,-6.0%,-6.6%,-3.5%,-3.1%,-6.6%,-3.0%,-2.5%,-2.9%,-4.4%,-4.6%,-4.5%,-6.2%
,Panel 5,0.19,2.9%,-0.3%,-2.9%,-1.7%,-1.1%,-3.6%,6.9%,0.0%,-2.6%,-3.4%,-3.8%,-0.9%,-0.8%,-3.2%,-0.3%,-0.6%,-30.0%,-35.8%,-37.8%,-39.6%,-15.3%
,Panel 3,0.70,2.7%,-4.7%,-4.6%,-5.8%,-2.2%,-6.1%,2.4%,-15.3%,-1.2%,-6.5%,-9.6%,6.7%,-5.2%,-4.5%,-1.8%,-1.8%,-2.9%,-2.0%,-2.4%,-0.6%,-2.2%
,Panel 5,,2.9%,-0.3%,-2.9%,-1.7%,-1.1%,-3.6%,6.9%,0.0%,-2.6%,-3.4%,-3.8%,-0.9%,-0.8%,-3.2%,-0.3%,-0.6%,-3.6%,-4.3%,-3.5%,-4.3%,-5.4%
,Panel 5,,3.5%,0.0%,-2.8%,-2.6%,-1.2%,-4.1%,7.2%,2.4%,-2.9%,-3.2%,-4.0%,-0.8%,-0.3%,-3.3%,0.2%,0.6%,-1.9%,-2.5%,-2.3%,-3.3%,-4.1%
,Panel 5,,4.3%,-0.9%,6.7%,-7.0%,-5.2%,-6.2%,-14.2%,-3.3%,-3.9%,-1.3%,-3.0%,0.7%,0.9%,-2.7%,1.6%,0.4%,0.5%,2.1%,-0.7%,-2.7%,-4.6%
,Panel 5,,3.8%,2.7%,9.5%,-4.1%,-2.3%,-2.8%,-11.4%,1.4%,-0.8%,2.1%,-0.4%,3.4%,3.4%,0.3%,4.2%,1.3%,0.8%,2.5%,-0.5%,-2.2%,-3.9%
,Panel 1,,3.6%,-3.1%,-9.9%,-3.4%,-2.9%,-15.1%,2.8%,-0.5%,-7.7%,-6.0%,-6.6%,-3.5%,-3.1%,-6.6%,-3.0%,-2.5%,-41.9%,-49.3%,-52.6%,-53.7%,-20.1%
,Panel 5,0.92,2.0%,-10.2%,5.9%,-1.5%,12.0%,-28.4%,-8.0%,-9.2%,-5.7%,3.0%,-5.7%,-11.3%,0.8%,-10.3%,-3.2%,-1.1%,4.5%,5.4%,2.2%,-2.3%,-2.7%
,Panel 5,,1.8%,-10.4%,-2.1%,-3.4%,12.9%,-28.1%,-6.8%,-12.5%,-7.7%,6.0%,-8.8%,-12.1%,1.1%,-8.3%,-4.2%,-2.5%,4.6%,7.6%,2.7%,-1.7%,-1.7%
,Panel 5,,1.7%,-10.4%,-2.1%,-3.4%,12.9%,-28.1%,-6.8%,-12.5%,-7.7%,6.0%,-8.8%,-12.2%,1.1%,-8.3%,-4.2%,-2.5%,4.6%,7.6%,2.7%,-1.7%,-1.7%
,Panel 5,,3.4%,-9.9%,31.3%,4.1%,9.8%,-29.4%,-12.0%,18.3%,0.0%,-6.3%,6.1%,-8.4%,-0.4%,-17.1%,0.3%,3.8%,4.1%,-1.5%,0.8%,-4.4%,-5.9%
,Panel 5,,3.4%,-9.9%,31.3%,4.1%,9.8%,-29.4%,-12.0%,18.3%,0.0%,-6.3%,6.1%,-8.4%,-0.4%,-17.1%,0.3%,3.8%,4.1%,-1.5%,0.8%,-4.4%,-5.9%
,Panel 5,2.16,2.2%,0.8%,-0.6%,-4.0%,-1.6%,5.2%,-19.8%,,1.9%,-8.5%,-8.8%,-5.7%,-3.9%,,-5.4%,-3.2%,2.5%,-3.1%,4.1%,4.7%,0.2%
,Panel 1,,1.2%,-18.8%,-16.2%,2.3%,-4.2%,-2.6%,-18.4%,-19.9%,-3.2%,-4.6%,-9.8%,-4.3%,-8.7%,-19.9%,-6.2%,-7.4%,-2.2%,-2.9%,0.3%,0.8%,-6.8%
,Panel 3,,0.0%,-3.5%,-4.6%,-8.3%,24.5%,21.7%,-10.9%,-14.3%,8.4%,-3.5%,1.3%,1.6%,-7.5%,2.7%,-0.9%,-0.3%,0.7%,3.2%,12.1%,3.3%,-0.3%
,Panel 5,,0.0%,-3.7%,-10.4%,-10.5%,17.9%,17.6%,-1.5%,-30.8%,1.4%,1.0%,4.6%,-9.0%,-5.5%,1.8%,-2.8%,-0.4%,-1.5%,4.5%,14.6%,4.9%,3.0%
,Panel 5,,0.0%,-4.9%,-16.0%,-18.2%,12.8%,0.9%,-1.6%,-28.3%,-6.9%,1.5%,-3.2%,-20.8%,-13.7%,-2.3%,-12.1%,-10.7%,-10.9%,-2.7%,7.9%,-4.5%,-9.6%
,Panel 5,,0.0%,-2.0%,-0.5%,5.9%,29.6%,64.1%,-1.3%,-34.5%,19.8%,0.0%,18.5%,16.0%,10.9%,10.6%,15.4%,22.1%,17.9%,22.5%,30.5%,33.8%,44.0%
,Panel 3,1.71,1.3%,-15.2%,-0.1%,-13.4%,-12.4%,17.0%,-23.1%,-4.7%,-17.2%,-8.5%,-12.3%,-12.5%,-11.6%,-10.0%,-11.3%,-10.1%,-8.9%,-12.0%,-5.0%,-4.3%,0.9%
,Panel 1,1.36,0.6%,-29.1%,-3.0%,-13.5%,-11.2%,-4.3%,19.0%,-10.0%,-25.0%,-15.6%,-18.6%,-15.7%,-20.1%,-17.4%,-16.7%,-18.2%,-13.4%,-12.6%,-17.4%,-17.0%,-8.8%
,Panel 5,2.59,0.5%,-19.1%,1.4%,-12.6%,-11.1%,-2.4%,49.6%,-8.0%,-21.8%,-11.5%,-16.7%,-13.6%,-16.4%,-14.6%,-14.1%,-14.2%,-10.7%,-14.0%,-12.6%,-14.2%,-7.3%
,Panel 1,,0.0%,-20.6%,-21.2%,-20.8%,38.5%,4.1%,-1.4%,1.2%,-5.2%,4.3%,-8.0%,-4.1%,-3.8%,-1.8%,-3.0%,-5.6%,-5.1%,3.8%,0.5%,-4.0%,-9.3%
,Panel 1,,0.0%,-19.7%,-21.5%,-22.4%,36.8%,-11.5%,-1.9%,-3.7%,-4.6%,0.5%,-17.0%,-3.5%,-9.9%,-4.3%,-7.8%,-10.0%,-9.1%,0.8%,-3.7%,-8.8%,-16.5%
,Panel 1,,0.0%,-22.7%,-20.6%,-16.2%,44.6%,90.0%,0.1%,17.7%,-7.4%,16.1%,23.7%,-5.8%,18.5%,6.2%,12.8%,10.4%,8.2%,15.2%,17.3%,19.2%,27.2%
,Panel 5,2.98,5.7%,5.8%,7.6%,-6.7%,3.9%,19.3%,-19.1%,5.8%,-20.1%,-10.7%,-17.3%,-9.8%,-0.8%,-7.5%,-13.2%,-7.2%,-15.0%,-17.5%,2.8%,-6.3%,7.1%
,Panel 3,1.23,3.9%,9.0%,3.0%,6.7%,7.6%,46.6%,-28.5%,15.1%,-15.3%,9.2%,1.1%,4.6%,7.5%,1.0%,4.8%,2.7%,-7.7%,-12.2%,0.4%,-1.3%,7.3%
,Panel 1,1.58,2.6%,38.8%,5.0%,8.3%,3.4%,37.1%,-16.5%,17.8%,-18.2%,-3.9%,1.5%,-6.8%,1.1%,0.1%,-2.5%,-0.3%,-13.0%,-11.6%,-8.8%,-9.8%,-0.4%
,Panel 1,,3.2%,1.1%,0.8%,-9.2%,-9.6%,-32.6%,5.8%,11.4%,-11.8%,-8.8%,-4.9%,-6.0%,-10.4%,11.1%,-8.4%,-9.1%,-9.6%,-10.5%,-4.5%,-2.8%,-6.0%
,Panel 5,,2.1%,9.8%,11.2%,-10.2%,-8.3%,-11.1%,6.3%,17.6%,-3.9%,-1.0%,-2.9%,-3.0%,-1.8%,30.5%,-2.3%,-4.1%,-6.3%,-9.8%,-5.9%,-3.5%,-5.6%
,Panel 5,,2.1%,9.8%,10.9%,-10.2%,-8.8%,-12.1%,5.9%,18.3%,-4.3%,-1.1%,-3.4%,-3.5%,-1.9%,30.5%,-2.6%,-4.3%,-5.7%,-9.0%,-5.2%,-3.1%,-5.2%
,Panel 5,,0.0%,-1.6%,4.7%,-7.2%,-9.0%,-1.3%,5.5%,4.2%,-5.5%,-13.7%,-8.5%,-8.4%,-9.4%,4.2%,-9.4%,-8.8%,-10.1%,-1.6%,1.7%,1.5%,-0.5%
,Panel 1,,3.3%,-2.5%,-4.1%,-2.5%,-0.8%,18.1%,1.2%,2.0%,-11.5%,-7.1%,-9.1%,-5.2%,-16.8%,-4.0%,-7.3%,-12.8%,-7.3%,-0.3%,0.9%,-0.1%,-3.2%
,Panel 3,1.44,0.4%,-2.5%,6.4%,-4.8%,1.7%,7.9%,-17.0%,1.5%,-3.6%,-1.6%,-3.1%,2.3%,-4.7%,-0.6%,-0.9%,-3.7%,-0.6%,-1.5%,7.5%,7.9%,8.7%
,Panel 5,1.67,0.1%,5.4%,-1.2%,-6.6%,-6.8%,3.2%,-4.2%,-2.4%,-10.4%,-5.1%,-7.4%,-5.2%,-13.4%,-5.9%,-6.0%,-9.9%,-4.6%,-3.1%,4.2%,4.3%,3.4%
,Panel 5,,3.3%,5.2%,-3.4%,-7.9%,-15.5%,9.5%,21.4%,-3.6%,-13.6%,-5.4%,-13.4%,6.3%,-8.5%,-8.9%,-5.7%,-2.6%,9.7%,17.8%,35.5%,18.4%,21.5%
,Panel 5,,14.9%,144.9%,26.7%,-38.4%,104.6%,-100.0%,-62.6%,8.4%,-61.8%,-66.8%,-3.8%,-62.5%,64.4%,-27.9%,-42.8%,36.7%,-2.1%,18.7%,14.0%,12.0%,-36.7%
,Panel 5,,5.3%,82.3%,49.4%,0.4%,-5.2%,-41.8%,0.5%,7.7%,-1.7%,-8.2%,-4.8%,54.3%,28.5%,3.2%,8.4%,22.5%,3.3%,-12.6%,-16.9%,-22.9%,-19.5%
,Panel 5,,1.0%,6.3%,-1.3%,-4.5%,-4.2%,6.6%,-11.0%,-0.5%,-10.9%,-4.3%,-6.2%,-7.1%,-16.0%,-4.9%,-5.9%,-12.0%,-6.9%,-5.3%,-1.4%,2.8%,0.1%
,Panel 5,,0.7%,-2.2%,1.8%,-13.9%,-11.7%,-15.3%,6.7%,-9.2%,-4.1%,-7.2%,-6.2%,-5.8%,-6.2%,-7.0%,-6.4%,-6.7%,-7.7%,-10.3%,1.8%,-1.1%,2.6%
,Panel 5,,4.3%,132.9%,-19.8%,-21.5%,-17.5%,-35.6%,-35.1%,-18.3%,-12.0%,-8.3%,-7.5%,-17.8%,-4.9%,-15.1%,-10.8%,-11.0%,4.7%,10.6%,44.6%,64.6%,32.4%
,Panel 1,1.31,3.3%,-2.5%,-4.1%,-2.5%,-0.8%,18.1%,1.2%,2.0%,-11.5%,-7.1%,-9.1%,-5.2%,-16.8%,-4.0%,-7.3%,-12.8%,-7.3%,-0.3%,0.9%,-0.1%,-3.2%
,Panel 1,,4.8%,-1.3%,-3.9%,0.0%,3.1%,25.4%,-8.9%,5.1%,-14.8%,-6.8%,-10.6%,-6.7%,-19.9%,-3.5%,-8.3%,-14.8%,-8.5%,-0.6%,-2.1%,-1.0%,-5.1%
,Panel 1,,6.9%,-16.7%,-4.1%,25.3%,-4.1%,81.5%,68.1%,14.6%,3.8%,-7.3%,5.7%,3.2%,8.0%,7.4%,0.5%,2.8%,5.8%,17.5%,29.7%,14.2%,10.9%
,Panel 1,,75.9%,1098.7%,-41.9%,51.9%,-12.4%,,437.2%,5.8%,-27.2%,10.1%,227.4%,-41.6%,9.7%,-10.3%,65.6%,6.5%,-61.0%,20.0%,-59.0%,-26.9%,-8.2%
,Panel 1,,5.9%,-1.5%,-3.3%,0.2%,5.6%,29.5%,-8.1%,6.5%,-14.7%,-6.8%,-11.2%,-6.6%,-20.5%,-2.6%,-8.5%,-15.2%,-8.9%,-1.0%,-3.4%,-1.8%,-5.8%
,Panel 1,,3.7%,0.2%,-4.7%,-18.6%,-15.7%,-31.4%,10.8%,-15.8%,-6.9%,-8.2%,-11.4%,-4.9%,-12.2%,-12.1%,-8.4%,-11.8%,-8.8%,-6.6%,-0.8%,-1.7%,-2.0%
,Panel 1,,0.1%,-5.9%,-4.5%,-11.4%,-12.3%,-3.1%,35.8%,-7.4%,-2.5%,-7.9%,-5.7%,-2.4%,-6.2%,-5.4%,-5.4%,-7.7%,-4.4%,0.4%,7.6%,2.2%,1.6%
,Panel 1,,17.5%,-3.9%,-27.6%,-8.4%,-45.7%,-41.2%,-32.9%,-28.9%,-17.6%,-7.0%,-4.9%,-8.1%,-5.2%,-23.8%,-6.3%,-8.5%,-1.6%,6.2%,21.1%,16.8%,5.6%
,Panel 5,,4.1%,-3.2%,13.3%,18.7%,-20.9%,63.1%,65.2%,-14.6%,9.0%,-19.8%,-18.9%,-22.9%,-20.0%,-3.2%,-8.9%,-21.4%,-4.9%,2.4%,-5.6%,0.7%,-0.4%
,Panel 5,,11.1%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,4.1%,-3.2%,13.3%,18.7%,-20.9%,63.1%,65.2%,-14.6%,9.0%,-19.8%,-18.9%,-22.9%,-20.0%,-3.2%,-8.9%,-21.4%,-4.9%,2.4%,-5.3%,1.0%,0.1%
